Age,Gender,City_Tier,Occupation,Income,Shopping_Frequency,Last_Purchase,Categories,Purchase_Influence,Browsing_Time,Cart_Abandonment,Habit_Type,Pre_Purchase_Action,Decision_Style,Mood,Mood_Impact,Emotional_Frequency,Impulse_Behavior,Stress_Purchases,Happy_Purchases,Shopping_Time,Shopping_Situations,Product_Combinations,Hesitation,Tradeoff,Priority,Value_Perception,Post_Purchase_Feeling,Privacy_Comfort,Data_Concern,AI_Trust,Monthly_Spend,Willingness_To_Spend_More,Interest_in_MoodCart
Under 18,Male,Tier 1,Business Owner,20k-50k,Monthly,Today,Wellness|Home Decor,Price,<5,Rarely,Habitual,Modify Cart,Emotional,Bored,No,Sometimes,Sometimes,Fashion,Home Decor,Afternoon,Sales|Festivals|Salary,Snacks+Beverages|Gadgets+Accessories|Clothing+Accessories,Too Many Options,Delivery,Brand,Discount,Neutral,Somewhat Comfortable,No Concerns,Low,1864,Maybe,No
45+,Female,Tier 2,Working Professional,50k-1L,Daily,This Month,Electronics|Snacks,Recommendations,<5,Often,Habitual,Check Reviews,Mixed,Sad,Yes,Very Often,Rarely,Electronics,Snacks,Late Night,Festivals|Sales|Salary,Books+Coffee,Low Trust,Quality,Quality,Discount,Satisfied,Somewhat Comfortable,Misuse,Medium,13900,Yes,Maybe
35-44,Male,Tier 1,Business Owner,<20k,Weekly,This Week,Home Decor|Wellness,Price,15-30,Rarely,Habitual,Buy Immediately,Emotional,Sad,Yes,Never,Often,Snacks|Home Decor,Home Decor,Morning,Festivals|Weekends,Gadgets+Accessories,Just Browsing,Quality,Quality,Recommendation,Happy,Very Comfortable,Irrelevant Recommendations,Low,2784,Yes,Maybe
18-24,Prefer not to say,Tier 3,Other,<20k,Weekly,This Week,Electronics|Home Decor,Price,5-15,Often,Mostly Planned,Modify Cart,Logical,Happy,Yes,Very Often,Rarely,Home Decor|Fashion,Snacks,Late Night,Festivals,Books+Coffee|Candles+Oils,High Price,Quality,Delivery,Quality,Satisfied,Not Comfortable,Irrelevant Recommendations,Low,211,Yes,No
Under 18,Female,Tier 2,Other,20k-50k,Weekly,Today,Snacks,Discounts,15-30,Never,Rare,Modify Cart,Logical,Stressed,Sometimes,Rarely,Often,Fashion|Home Decor|Snacks,Fashion,Evening,Festivals|Weekends|Salary,Books+Coffee|Candles+Oils|Clothing+Accessories,Delivery Issues,Delivery,Quality,Emotional Satisfaction,Happy,Not Comfortable,Misuse,High,5217,No,Maybe
35-44,Female,Tier 2,Student,20k-50k,Monthly,Today,Electronics|Home Decor|Snacks,Brand,15-30,Rarely,Rare,Buy Immediately,Emotional,Stressed,Yes,Very Often,Rarely,Home Decor|Wellness,Electronics,Afternoon,Salary|Stress,Gadgets+Accessories|Candles+Oils|Snacks+Beverages,Just Browsing,Brand,Price,Emotional Satisfaction,Neutral,Not Comfortable,Irrelevant Recommendations,Medium,6856,Yes,Maybe
35-44,Prefer not to say,Tier 2,Homemaker,20k-50k,Rarely,>1 Month,Home Decor|Snacks|Wellness,Price,5-15,Rarely,Habitual,Modify Cart,Logical,Happy,Yes,Sometimes,Sometimes,Fashion|Snacks|Home Decor,Electronics,Late Night,Weekends|Salary|Sales,Gadgets+Accessories|Clothing+Accessories,Low Trust,Price,Delivery,Recommendation,Neutral,Somewhat Comfortable,No Concerns,High,5470,Yes,Yes
18-24,Male,Tier 3,Student,>1L,Weekly,>1 Month,Home Decor,Price,30+,Often,Mostly Planned,Compare Prices,Mixed,Neutral,Yes,Never,Often,Electronics|Fashion,Fashion,Afternoon,Salary|Sales,Gadgets+Accessories|Snacks+Beverages,Just Browsing,Price,Delivery,Emotional Satisfaction,Satisfied,Very Comfortable,Irrelevant Recommendations,Medium,30724,Yes,Yes
25-34,Female,Tier 2,Homemaker,<20k,Daily,>1 Month,Fashion|Snacks|Electronics,Recommendations,15-30,Often,Somewhat Planned,Check Reviews,Logical,Bored,Sometimes,Sometimes,Sometimes,Home Decor,Fashion,Afternoon,Stress|Salary,Gadgets+Accessories|Snacks+Beverages|Books+Coffee,Too Many Options,Price,Price,Recommendation,Neutral,Somewhat Comfortable,Privacy,Low,890,Yes,Maybe
Under 18,Female,Tier 2,Student,50k-1L,Daily,This Week,Electronics|Fashion,Reviews,<5,Often,Somewhat Planned,Buy Immediately,Logical,Happy,No,Rarely,Sometimes,Electronics|Fashion,Wellness,Morning,Weekends|Sales|Festivals,Candles+Oils,Low Trust,Brand,Personalization,Recommendation,Regretful,Not Comfortable,Privacy,High,15086,Maybe,Maybe
45+,Female,Tier 2,Homemaker,>1L,Rarely,Today,Wellness|Fashion|Home Decor,Recommendations,5-15,Sometimes,Somewhat Planned,Buy Immediately,Logical,Neutral,Yes,Sometimes,Often,Home Decor|Fashion|Electronics,Fashion,Morning,Weekends|Salary,Clothing+Accessories,Too Many Options,Quality,Quality,Emotional Satisfaction,Neutral,Somewhat Comfortable,No Concerns,High,17263,Yes,Yes
Under 18,Female,Tier 3,Other,<20k,Rarely,This Week,Fashion,Brand,<5,Rarely,Somewhat Planned,Check Reviews,Logical,Sad,Yes,Sometimes,Rarely,Wellness|Fashion,Home Decor,Afternoon,Salary|Weekends,Clothing+Accessories|Books+Coffee|Gadgets+Accessories,Low Trust,Delivery,Personalization,Discount,Happy,Somewhat Comfortable,Irrelevant Recommendations,High,1059,No,Maybe
35-44,Female,Tier 3,Working Professional,20k-50k,Daily,This Week,Snacks,Price,30+,Never,Mostly Planned,Buy Immediately,Logical,Neutral,No,Rarely,Often,Wellness|Fashion,Fashion,Late Night,Festivals|Sales|Salary,Snacks+Beverages|Gadgets+Accessories,Just Browsing,Brand,Personalization,Emotional Satisfaction,Regretful,Very Comfortable,Irrelevant Recommendations,Low,3933,No,No
Under 18,Male,Tier 1,Homemaker,50k-1L,Daily,This Month,Home Decor,Reviews,30+,Never,Mostly Planned,Buy Immediately,Mixed,Happy,Yes,Rarely,Sometimes,Snacks|Electronics,Home Decor,Late Night,Sales|Weekends,Gadgets+Accessories|Books+Coffee,Too Many Options,Brand,Delivery,Discount,Regretful,Somewhat Comfortable,Privacy,Low,9351,Yes,Maybe
45+,Male,Tier 1,Student,20k-50k,Weekly,This Month,Electronics,Price,30+,Never,Mostly Planned,Modify Cart,Emotional,Neutral,Sometimes,Very Often,Often,Snacks|Wellness|Electronics,Snacks,Afternoon,Stress|Weekends,Books+Coffee,High Price,Delivery,Delivery,Quality,Regretful,Very Comfortable,Misuse,Low,3355,Maybe,Maybe
25-34,Female,Tier 1,Working Professional,20k-50k,Rarely,This Month,Home Decor|Electronics|Wellness,Brand,30+,Rarely,Mostly Planned,Compare Prices,Logical,Sad,No,Never,Sometimes,Wellness|Snacks|Electronics,Home Decor,Evening,Stress|Salary,Books+Coffee|Candles+Oils|Gadgets+Accessories,Low Trust,Delivery,Price,Discount,Happy,Somewhat Comfortable,Privacy,Low,6654,Yes,Maybe
35-44,Male,Tier 1,Student,<20k,Weekly,This Week,Snacks|Fashion,Price,15-30,Rarely,Mostly Planned,Buy Immediately,Mixed,Stressed,Yes,Never,Sometimes,Fashion,Electronics,Morning,Stress,Gadgets+Accessories,Just Browsing,Delivery,Brand,Emotional Satisfaction,Neutral,Somewhat Comfortable,Misuse,Medium,1737,Yes,Yes
35-44,Male,Tier 2,Student,>1L,Weekly,Today,Electronics,Reviews,30+,Rarely,Somewhat Planned,Buy Immediately,Emotional,Happy,Sometimes,Very Often,Never,Snacks|Wellness,Wellness,Late Night,Weekends|Sales,Clothing+Accessories,High Price,Quality,Brand,Emotional Satisfaction,Satisfied,Very Comfortable,Misuse,High,13727,No,No
18-24,Female,Tier 3,Business Owner,20k-50k,Daily,This Month,Wellness|Electronics|Fashion,Price,15-30,Never,Habitual,Modify Cart,Emotional,Stressed,Yes,Never,Never,Wellness|Home Decor|Electronics,Wellness,Evening,Salary|Festivals|Sales,Clothing+Accessories,Low Trust,Personalization,Price,Discount,Neutral,Somewhat Comfortable,Privacy,Low,2249,Yes,No
45+,Male,Tier 2,Business Owner,<20k,Weekly,This Week,Home Decor|Snacks|Electronics,Reviews,<5,Often,Somewhat Planned,Compare Prices,Emotional,Sad,Sometimes,Rarely,Often,Fashion|Electronics,Home Decor,Morning,Weekends|Salary,Candles+Oils|Clothing+Accessories|Books+Coffee,Delivery Issues,Price,Brand,Emotional Satisfaction,Regretful,Somewhat Comfortable,No Concerns,Medium,2379,No,Yes
18-24,Male,Tier 2,Homemaker,50k-1L,Weekly,This Month,Fashion|Electronics,Reviews,<5,Sometimes,Somewhat Planned,Modify Cart,Mixed,Happy,Sometimes,Sometimes,Rarely,Home Decor|Fashion,Home Decor,Late Night,Weekends|Festivals|Salary,Clothing+Accessories|Candles+Oils,Low Trust,Delivery,Brand,Discount,Guilty,Somewhat Comfortable,Misuse,High,13949,Yes,Maybe
35-44,Prefer not to say,Tier 1,Working Professional,20k-50k,Rarely,This Month,Home Decor|Fashion|Electronics,Reviews,30+,Sometimes,Habitual,Modify Cart,Logical,Stressed,Yes,Sometimes,Never,Home Decor|Wellness,Fashion,Afternoon,Salary,Gadgets+Accessories|Books+Coffee,Just Browsing,Quality,Quality,Recommendation,Satisfied,Not Comfortable,Misuse,High,6549,Maybe,No
18-24,Male,Tier 3,Student,>1L,Rarely,Today,Home Decor,Discounts,15-30,Often,Rare,Compare Prices,Emotional,Bored,Sometimes,Rarely,Never,Snacks|Electronics|Wellness,Home Decor,Morning,Festivals|Stress,Gadgets+Accessories|Books+Coffee,Low Trust,Quality,Delivery,Discount,Satisfied,Very Comfortable,Irrelevant Recommendations,Low,27886,Yes,Maybe
25-34,Female,Tier 2,Other,50k-1L,Daily,This Month,Home Decor,Brand,<5,Often,Mostly Planned,Check Reviews,Mixed,Stressed,Sometimes,Sometimes,Rarely,Snacks|Fashion|Home Decor,Fashion,Evening,Stress,Books+Coffee|Candles+Oils,Just Browsing,Price,Price,Discount,Neutral,Somewhat Comfortable,Irrelevant Recommendations,Low,5520,No,No
45+,Female,Tier 2,Homemaker,<20k,Weekly,This Month,Electronics|Home Decor,Brand,30+,Often,Habitual,Modify Cart,Mixed,Neutral,Sometimes,Very Often,Often,Fashion,Snacks,Morning,Sales,Gadgets+Accessories|Snacks+Beverages,Low Trust,Quality,Brand,Discount,Regretful,Somewhat Comfortable,No Concerns,High,200,No,Maybe
45+,Prefer not to say,Tier 2,Student,<20k,Rarely,Today,Electronics|Fashion|Wellness,Brand,30+,Rarely,Mostly Planned,Buy Immediately,Logical,Happy,No,Very Often,Never,Fashion|Home Decor,Electronics,Late Night,Weekends|Festivals|Stress,Snacks+Beverages|Books+Coffee|Candles+Oils,Low Trust,Price,Price,Quality,Regretful,Somewhat Comfortable,No Concerns,Low,1380,Yes,No
25-34,Female,Tier 1,Student,>1L,Daily,>1 Month,Home Decor|Electronics,Discounts,5-15,Often,Rare,Compare Prices,Emotional,Stressed,Yes,Sometimes,Never,Wellness,Snacks,Morning,Stress,Snacks+Beverages|Candles+Oils|Books+Coffee,Just Browsing,Price,Personalization,Emotional Satisfaction,Happy,Very Comfortable,No Concerns,Low,21631,Yes,Maybe
45+,Male,Tier 1,Homemaker,50k-1L,Rarely,>1 Month,Electronics|Home Decor,Discounts,15-30,Sometimes,Rare,Compare Prices,Logical,Neutral,No,Rarely,Never,Snacks|Fashion,Electronics,Late Night,Salary|Weekends|Festivals,Gadgets+Accessories|Clothing+Accessories,Low Trust,Delivery,Personalization,Emotional Satisfaction,Neutral,Somewhat Comfortable,Privacy,High,9177,Maybe,Yes
35-44,Prefer not to say,Tier 3,Working Professional,<20k,Weekly,Today,Snacks|Electronics|Fashion,Brand,5-15,Rarely,Mostly Planned,Modify Cart,Emotional,Neutral,Sometimes,Rarely,Never,Home Decor|Fashion|Wellness,Snacks,Afternoon,Salary|Weekends|Stress,Snacks+Beverages|Books+Coffee|Clothing+Accessories,Too Many Options,Personalization,Price,Discount,Satisfied,Somewhat Comfortable,No Concerns,Low,1672,Maybe,Yes
25-34,Female,Tier 2,Student,20k-50k,Rarely,This Week,Snacks|Electronics,Brand,<5,Rarely,Mostly Planned,Modify Cart,Emotional,Sad,Sometimes,Rarely,Rarely,Snacks|Home Decor,Wellness,Evening,Festivals|Salary|Stress,Gadgets+Accessories|Candles+Oils|Clothing+Accessories,Low Trust,Delivery,Price,Quality,Regretful,Not Comfortable,Irrelevant Recommendations,Low,7540,Yes,Maybe
Under 18,Prefer not to say,Tier 2,Homemaker,50k-1L,Monthly,>1 Month,Home Decor|Fashion,Reviews,<5,Often,Somewhat Planned,Buy Immediately,Mixed,Happy,Sometimes,Sometimes,Often,Home Decor|Electronics|Fashion,Wellness,Afternoon,Weekends,Candles+Oils|Gadgets+Accessories|Snacks+Beverages,Too Many Options,Brand,Brand,Emotional Satisfaction,Guilty,Very Comfortable,Misuse,Medium,2109,Yes,No
18-24,Prefer not to say,Tier 1,Working Professional,20k-50k,Monthly,This Week,Electronics|Wellness,Price,15-30,Never,Rare,Compare Prices,Logical,Happy,Yes,Rarely,Often,Electronics|Snacks|Fashion,Fashion,Evening,Salary|Festivals|Weekends,Candles+Oils|Snacks+Beverages,Too Many Options,Brand,Delivery,Emotional Satisfaction,Happy,Somewhat Comfortable,Misuse,High,3529,Yes,No
25-34,Prefer not to say,Tier 1,Business Owner,>1L,Weekly,>1 Month,Home Decor,Reviews,15-30,Never,Somewhat Planned,Check Reviews,Mixed,Stressed,Sometimes,Never,Never,Fashion|Electronics|Wellness,Wellness,Evening,Weekends|Festivals|Sales,Gadgets+Accessories|Candles+Oils,Delivery Issues,Personalization,Price,Recommendation,Satisfied,Somewhat Comfortable,Privacy,High,28373,Yes,No
35-44,Female,Tier 1,Other,20k-50k,Weekly,This Week,Fashion,Price,5-15,Often,Mostly Planned,Check Reviews,Mixed,Neutral,Sometimes,Very Often,Rarely,Fashion,Electronics,Late Night,Weekends,Books+Coffee|Snacks+Beverages|Gadgets+Accessories,Delivery Issues,Quality,Delivery,Recommendation,Regretful,Very Comfortable,Misuse,Low,3138,No,No
45+,Prefer not to say,Tier 1,Business Owner,50k-1L,Monthly,This Month,Wellness,Reviews,5-15,Never,Rare,Modify Cart,Mixed,Stressed,Yes,Sometimes,Often,Electronics,Electronics,Evening,Sales|Salary,Clothing+Accessories|Books+Coffee,Delivery Issues,Personalization,Brand,Discount,Happy,Not Comfortable,No Concerns,Low,10214,Yes,Maybe
45+,Male,Tier 2,Student,<20k,Weekly,This Month,Fashion,Price,30+,Rarely,Mostly Planned,Check Reviews,Mixed,Neutral,Yes,Rarely,Never,Home Decor|Wellness|Fashion,Fashion,Late Night,Festivals,Candles+Oils,Too Many Options,Price,Quality,Recommendation,Happy,Not Comfortable,No Concerns,High,3889,Maybe,Yes
45+,Prefer not to say,Tier 2,Homemaker,50k-1L,Monthly,This Week,Home Decor,Brand,<5,Sometimes,Mostly Planned,Check Reviews,Logical,Happy,No,Sometimes,Never,Snacks|Electronics,Snacks,Morning,Weekends|Festivals,Snacks+Beverages|Gadgets+Accessories,Just Browsing,Quality,Delivery,Discount,Happy,Not Comfortable,Misuse,Low,9546,Yes,No
35-44,Prefer not to say,Tier 2,Business Owner,20k-50k,Weekly,This Week,Electronics|Fashion,Price,15-30,Often,Rare,Check Reviews,Logical,Sad,No,Never,Sometimes,Wellness,Electronics,Late Night,Salary,Gadgets+Accessories,High Price,Delivery,Price,Emotional Satisfaction,Happy,Very Comfortable,Misuse,High,4662,Maybe,Yes
35-44,Prefer not to say,Tier 3,Other,<20k,Weekly,>1 Month,Home Decor,Brand,5-15,Sometimes,Rare,Compare Prices,Emotional,Sad,Sometimes,Sometimes,Sometimes,Home Decor|Fashion|Electronics,Fashion,Afternoon,Weekends|Festivals|Salary,Gadgets+Accessories,Low Trust,Delivery,Delivery,Quality,Satisfied,Not Comfortable,Privacy,Medium,720,Yes,Yes
35-44,Prefer not to say,Tier 3,Student,>1L,Rarely,This Week,Snacks|Fashion,Price,5-15,Never,Somewhat Planned,Modify Cart,Logical,Stressed,Sometimes,Rarely,Rarely,Wellness|Home Decor,Electronics,Evening,Festivals|Weekends|Stress,Books+Coffee,Delivery Issues,Price,Brand,Emotional Satisfaction,Satisfied,Not Comfortable,Privacy,Medium,10862,No,Maybe
Under 18,Prefer not to say,Tier 2,Student,50k-1L,Daily,Today,Fashion|Wellness,Recommendations,30+,Sometimes,Mostly Planned,Check Reviews,Mixed,Bored,No,Rarely,Never,Wellness,Wellness,Evening,Sales,Candles+Oils|Books+Coffee,Low Trust,Personalization,Quality,Emotional Satisfaction,Satisfied,Somewhat Comfortable,Misuse,Medium,9589,No,No
25-34,Male,Tier 2,Working Professional,50k-1L,Rarely,This Week,Wellness|Electronics|Snacks,Brand,<5,Sometimes,Rare,Compare Prices,Emotional,Neutral,Yes,Rarely,Rarely,Fashion|Wellness|Electronics,Snacks,Afternoon,Festivals,Candles+Oils|Snacks+Beverages,Delivery Issues,Brand,Quality,Discount,Guilty,Very Comfortable,Irrelevant Recommendations,High,12122,No,Yes
25-34,Female,Tier 3,Student,<20k,Daily,Today,Snacks|Electronics,Price,<5,Rarely,Somewhat Planned,Modify Cart,Mixed,Happy,Yes,Sometimes,Often,Home Decor,Home Decor,Afternoon,Sales|Salary,Clothing+Accessories|Gadgets+Accessories,Delivery Issues,Delivery,Personalization,Recommendation,Regretful,Not Comfortable,Misuse,Low,1356,Maybe,Maybe
35-44,Male,Tier 1,Business Owner,50k-1L,Weekly,>1 Month,Fashion|Electronics|Home Decor,Recommendations,<5,Sometimes,Rare,Modify Cart,Logical,Neutral,Yes,Never,Often,Snacks|Electronics,Fashion,Morning,Salary|Stress|Sales,Candles+Oils|Books+Coffee|Gadgets+Accessories,Delivery Issues,Price,Price,Emotional Satisfaction,Happy,Somewhat Comfortable,Irrelevant Recommendations,Low,7238,Yes,No
35-44,Prefer not to say,Tier 2,Business Owner,50k-1L,Daily,Today,Fashion,Brand,15-30,Rarely,Habitual,Modify Cart,Mixed,Sad,Yes,Rarely,Often,Snacks|Fashion,Electronics,Late Night,Festivals|Salary|Stress,Candles+Oils|Gadgets+Accessories,Just Browsing,Quality,Quality,Recommendation,Guilty,Very Comfortable,Privacy,High,8518,Maybe,Yes
35-44,Female,Tier 2,Business Owner,20k-50k,Daily,This Month,Electronics|Home Decor|Fashion,Discounts,30+,Never,Rare,Check Reviews,Emotional,Neutral,Yes,Sometimes,Sometimes,Electronics,Home Decor,Evening,Salary,Candles+Oils,Low Trust,Personalization,Quality,Emotional Satisfaction,Neutral,Not Comfortable,Privacy,Low,3205,Yes,Maybe
35-44,Male,Tier 1,Homemaker,<20k,Weekly,Today,Electronics|Wellness,Brand,15-30,Often,Habitual,Check Reviews,Logical,Sad,Sometimes,Rarely,Rarely,Snacks,Wellness,Afternoon,Weekends|Stress|Festivals,Books+Coffee,Low Trust,Quality,Price,Emotional Satisfaction,Satisfied,Very Comfortable,Misuse,Medium,200,No,Maybe
25-34,Female,Tier 1,Homemaker,<20k,Weekly,This Month,Fashion,Recommendations,15-30,Sometimes,Rare,Compare Prices,Logical,Neutral,Sometimes,Sometimes,Sometimes,Fashion|Home Decor|Wellness,Fashion,Morning,Stress|Weekends,Clothing+Accessories|Books+Coffee|Snacks+Beverages,Low Trust,Price,Personalization,Recommendation,Guilty,Not Comfortable,Privacy,High,1581,No,Yes
25-34,Female,Tier 1,Student,<20k,Daily,>1 Month,Wellness|Electronics,Recommendations,15-30,Never,Somewhat Planned,Buy Immediately,Logical,Bored,Yes,Very Often,Often,Home Decor|Fashion,Home Decor,Late Night,Festivals|Sales|Salary,Gadgets+Accessories,Just Browsing,Brand,Quality,Emotional Satisfaction,Guilty,Very Comfortable,No Concerns,Low,200,Yes,Maybe
45+,Female,Tier 3,Business Owner,>1L,Rarely,Today,Wellness|Home Decor|Snacks,Recommendations,<5,Sometimes,Mostly Planned,Check Reviews,Emotional,Stressed,Yes,Never,Never,Electronics|Snacks,Snacks,Late Night,Salary|Sales,Gadgets+Accessories,Just Browsing,Delivery,Delivery,Discount,Satisfied,Not Comfortable,Misuse,Low,26063,No,Maybe
25-34,Female,Tier 2,Business Owner,>1L,Rarely,This Week,Snacks|Electronics|Home Decor,Discounts,<5,Often,Rare,Check Reviews,Emotional,Stressed,Yes,Never,Never,Home Decor,Snacks,Afternoon,Sales|Stress,Books+Coffee|Clothing+Accessories|Candles+Oils,Too Many Options,Price,Personalization,Quality,Regretful,Somewhat Comfortable,Misuse,Low,24221,Yes,No
18-24,Female,Tier 3,Other,<20k,Monthly,>1 Month,Fashion,Reviews,30+,Never,Habitual,Check Reviews,Mixed,Bored,Yes,Never,Often,Fashion|Wellness|Snacks,Snacks,Evening,Salary,Books+Coffee,Delivery Issues,Delivery,Brand,Quality,Regretful,Very Comfortable,Irrelevant Recommendations,Low,610,Yes,Yes
45+,Prefer not to say,Tier 1,Homemaker,<20k,Daily,>1 Month,Snacks|Fashion|Wellness,Price,5-15,Never,Rare,Compare Prices,Emotional,Sad,Yes,Very Often,Rarely,Wellness,Home Decor,Morning,Salary|Weekends,Snacks+Beverages|Clothing+Accessories|Gadgets+Accessories,Too Many Options,Personalization,Personalization,Recommendation,Satisfied,Not Comfortable,No Concerns,Medium,4155,No,No
18-24,Prefer not to say,Tier 2,Working Professional,50k-1L,Daily,This Month,Home Decor|Fashion|Electronics,Brand,30+,Sometimes,Rare,Buy Immediately,Logical,Bored,Sometimes,Never,Never,Electronics|Wellness|Fashion,Snacks,Evening,Salary|Stress|Festivals,Snacks+Beverages|Candles+Oils,Just Browsing,Personalization,Brand,Emotional Satisfaction,Regretful,Very Comfortable,No Concerns,Medium,8049,No,Maybe
18-24,Prefer not to say,Tier 3,Homemaker,20k-50k,Weekly,This Week,Fashion|Electronics,Recommendations,<5,Often,Mostly Planned,Compare Prices,Emotional,Sad,Yes,Never,Often,Fashion,Snacks,Afternoon,Sales|Weekends,Clothing+Accessories|Candles+Oils|Gadgets+Accessories,Just Browsing,Delivery,Brand,Recommendation,Satisfied,Somewhat Comfortable,Privacy,Medium,4770,Yes,Yes
18-24,Prefer not to say,Tier 3,Homemaker,50k-1L,Daily,>1 Month,Wellness|Home Decor,Reviews,30+,Rarely,Mostly Planned,Buy Immediately,Mixed,Happy,Sometimes,Never,Often,Fashion|Electronics,Fashion,Evening,Salary|Stress,Clothing+Accessories,Low Trust,Quality,Brand,Emotional Satisfaction,Satisfied,Not Comfortable,No Concerns,Low,5267,Maybe,No
Under 18,Female,Tier 2,Working Professional,<20k,Daily,This Week,Fashion|Home Decor,Discounts,<5,Often,Mostly Planned,Modify Cart,Emotional,Stressed,No,Sometimes,Never,Home Decor|Snacks,Fashion,Afternoon,Stress|Salary|Weekends,Snacks+Beverages|Candles+Oils,High Price,Quality,Quality,Quality,Regretful,Somewhat Comfortable,Irrelevant Recommendations,High,7001,Maybe,Yes
35-44,Male,Tier 1,Homemaker,<20k,Weekly,Today,Snacks,Discounts,15-30,Sometimes,Rare,Check Reviews,Emotional,Sad,No,Rarely,Rarely,Home Decor|Electronics,Home Decor,Evening,Salary|Sales|Festivals,Gadgets+Accessories|Snacks+Beverages,High Price,Personalization,Quality,Emotional Satisfaction,Happy,Not Comfortable,Privacy,High,2134,Maybe,No
45+,Prefer not to say,Tier 1,Student,20k-50k,Daily,This Week,Wellness|Home Decor|Snacks,Price,5-15,Rarely,Mostly Planned,Modify Cart,Logical,Bored,Yes,Very Often,Rarely,Snacks|Electronics,Home Decor,Evening,Weekends|Stress,Snacks+Beverages|Clothing+Accessories,Low Trust,Price,Personalization,Discount,Happy,Very Comfortable,Privacy,High,3425,Yes,Yes
18-24,Female,Tier 1,Business Owner,20k-50k,Monthly,Today,Fashion|Home Decor,Brand,15-30,Never,Mostly Planned,Buy Immediately,Mixed,Bored,Yes,Sometimes,Sometimes,Electronics|Home Decor|Wellness,Snacks,Morning,Festivals|Weekends|Sales,Books+Coffee,Just Browsing,Personalization,Price,Emotional Satisfaction,Happy,Not Comfortable,Irrelevant Recommendations,High,4938,Yes,Maybe
18-24,Male,Tier 2,Business Owner,>1L,Weekly,This Month,Snacks|Fashion,Price,5-15,Rarely,Mostly Planned,Compare Prices,Mixed,Happy,Sometimes,Sometimes,Sometimes,Fashion|Snacks,Fashion,Late Night,Festivals|Sales,Clothing+Accessories|Books+Coffee,High Price,Brand,Brand,Emotional Satisfaction,Happy,Somewhat Comfortable,Misuse,Low,27364,No,No
18-24,Female,Tier 1,Homemaker,<20k,Daily,Today,Fashion,Brand,15-30,Often,Somewhat Planned,Modify Cart,Mixed,Happy,Yes,Rarely,Sometimes,Snacks,Home Decor,Afternoon,Stress|Salary,Candles+Oils|Clothing+Accessories,High Price,Brand,Brand,Discount,Neutral,Not Comfortable,No Concerns,Low,607,Maybe,Yes
45+,Male,Tier 3,Student,50k-1L,Rarely,>1 Month,Electronics|Wellness,Brand,15-30,Often,Habitual,Buy Immediately,Logical,Stressed,Sometimes,Never,Never,Home Decor|Fashion|Wellness,Snacks,Morning,Festivals|Salary,Snacks+Beverages,Just Browsing,Brand,Quality,Quality,Guilty,Not Comfortable,No Concerns,Medium,10271,Maybe,Maybe
25-34,Male,Tier 3,Working Professional,50k-1L,Weekly,>1 Month,Fashion,Discounts,15-30,Often,Habitual,Compare Prices,Logical,Neutral,Yes,Very Often,Sometimes,Fashion|Electronics,Home Decor,Morning,Stress|Festivals|Sales,Gadgets+Accessories,Delivery Issues,Personalization,Quality,Recommendation,Guilty,Very Comfortable,Privacy,Medium,10401,Yes,Maybe
25-34,Female,Tier 1,Other,<20k,Rarely,Today,Snacks,Discounts,5-15,Often,Somewhat Planned,Check Reviews,Logical,Stressed,No,Very Often,Sometimes,Fashion,Fashion,Morning,Sales|Weekends,Clothing+Accessories|Books+Coffee|Gadgets+Accessories,Just Browsing,Price,Delivery,Discount,Neutral,Somewhat Comfortable,Misuse,Low,1566,No,No
18-24,Female,Tier 2,Homemaker,20k-50k,Daily,This Month,Fashion|Snacks,Discounts,<5,Often,Mostly Planned,Buy Immediately,Logical,Stressed,Yes,Never,Never,Wellness|Home Decor,Electronics,Late Night,Sales|Weekends|Festivals,Gadgets+Accessories|Books+Coffee|Clothing+Accessories,Delivery Issues,Delivery,Price,Recommendation,Satisfied,Somewhat Comfortable,Privacy,Medium,7238,Yes,Yes
35-44,Female,Tier 3,Working Professional,50k-1L,Rarely,>1 Month,Electronics|Fashion|Wellness,Reviews,5-15,Sometimes,Habitual,Buy Immediately,Mixed,Sad,Yes,Rarely,Rarely,Electronics,Electronics,Morning,Festivals|Stress,Books+Coffee|Gadgets+Accessories|Clothing+Accessories,Low Trust,Quality,Delivery,Emotional Satisfaction,Neutral,Very Comfortable,Privacy,Medium,7640,Maybe,No
Under 18,Female,Tier 2,Homemaker,20k-50k,Daily,>1 Month,Snacks|Wellness,Brand,15-30,Sometimes,Rare,Check Reviews,Logical,Bored,Sometimes,Sometimes,Never,Snacks|Electronics|Home Decor,Snacks,Afternoon,Salary|Stress,Candles+Oils,Just Browsing,Delivery,Price,Emotional Satisfaction,Satisfied,Somewhat Comfortable,Misuse,High,6493,Maybe,Yes
18-24,Male,Tier 1,Business Owner,20k-50k,Rarely,>1 Month,Fashion|Wellness,Recommendations,30+,Often,Somewhat Planned,Buy Immediately,Mixed,Bored,Yes,Rarely,Rarely,Home Decor,Home Decor,Evening,Salary|Sales,Books+Coffee|Candles+Oils|Clothing+Accessories,Just Browsing,Price,Personalization,Discount,Satisfied,Not Comfortable,Privacy,High,6443,Yes,Yes
